estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
1,0,1,1,MillCk_RST_Rel,MillCk1,450.703,449.921,Mill Ck,MillCk_RST_Rel to MillCk1,450.703 to 449.921,18,13,40.05479,-122.032104,40.055504,-122.04123,2015-04-27_MillCk_RST_Rel,1,1,2015-04-27,MillCk_RST_Rel
0.505,0.124,0.279,0.729,MillCk1,Mill_Ck_Conf,449.921,441.318,Upper Sac R,MillCk1 to Mill_Ck_Conf,449.921 to 441.318,13,10,40.055504,-122.04123,40.0327,-122.11987,2015-04-27_MillCk_RST_Rel,1,2,2015-04-27,MillCk_RST_Rel
0.871,0.085,0.604,0.968,Mill_Ck_Conf,Abv_WoodsonBr,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,10,8,40.0327,-122.11987,39.920094,-122.08446000000001,2015-04-27_MillCk_RST_Rel,1,3,2015-04-27,MillCk_RST_Rel
0.957,0.042,0.751,0.994,Abv_WoodsonBr,Blw_IrvineFinch,425.158,394.668,Upper Sac R,Abv_WoodsonBr to Blw_IrvineFinch,425.158 to 394.668,8,7,39.920094,-122.08446000000001,39.73146,-121.97483,2015-04-27_MillCk_RST_Rel,1,4,2015-04-27,MillCk_RST_Rel
0.985,0.06,0.019,1,Blw_IrvineFinch,BlwOrd,394.668,361.728,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.668 to 361.728,7,5,39.73146,-121.97483,39.56548,-122.0018,2015-04-27_MillCk_RST_Rel,1,5,2015-04-27,MillCk_RST_Rel
0.748,0.155,0.372,0.937,BlwOrd,ButteBr,361.728,344.108,Lower Sac R,BlwOrd to ButteBr,361.728 to 344.108,5,4,39.56548,-122.0018,39.4569,-121.995,2015-04-27_MillCk_RST_Rel,1,6,2015-04-27,MillCk_RST_Rel
0.924,0.073,0.611,0.989,ButteBr,AbvColusaBr,344.108,307.738,Lower Sac R,ButteBr to AbvColusaBr,344.108 to 307.738,4,3,39.4569,-121.995,39.2205,-122.00847,2015-04-27_MillCk_RST_Rel,1,7,2015-04-27,MillCk_RST_Rel
1,0,1,1,AbvColusaBr,AbvTisdale,307.738,269.238,Lower Sac R,AbvColusaBr to AbvTisdale,307.738 to 269.238,3,3,39.2205,-122.00847,39.0364,-121.82918,2015-04-27_MillCk_RST_Rel,1,8,2015-04-27,MillCk_RST_Rel
0.868,0.124,0.442,0.982,AbvTisdale,BlwChinaBend,269.238,240.618,Lower Sac R,AbvTisdale to BlwChinaBend,269.238 to 240.618,3,2,39.0364,-121.82918,38.88406,-121.81713,2015-04-27_MillCk_RST_Rel,1,9,2015-04-27,MillCk_RST_Rel
1,0,1,1,BlwChinaBend,KnightsLanding,240.618,224.068,Lower Sac R,BlwChinaBend to KnightsLanding,240.618 to 224.068,2,2,38.88406,-121.81713,38.82341,-121.72388,2015-04-27_MillCk_RST_Rel,1,10,2015-04-27,MillCk_RST_Rel
1,0,1,1,KnightsLanding,Blw_FRConf,224.068,203.468,Lower Sac R,KnightsLanding to Blw_FRConf,224.068 to 203.468,2,2,38.82341,-121.72388,38.77409,-121.60043,2015-04-27_MillCk_RST_Rel,1,11,2015-04-27,MillCk_RST_Rel
1,0,1,1,Blw_FRConf,I80-50_Br,203.468,170.748,Lower Sac R,Blw_FRConf to I80-50_Br,203.468 to 170.748,2,2,38.77409,-121.60043,38.571133,-121.5164,2015-04-27_MillCk_RST_Rel,1,12,2015-04-27,MillCk_RST_Rel
1,0,1,1,I80-50_Br,Freeport,170.748,152.438,Lower Sac R,I80-50_Br to Freeport,170.748 to 152.438,2,2,38.571133,-121.5164,38.46467,-121.50501,2015-04-27_MillCk_RST_Rel,1,13,2015-04-27,MillCk_RST_Rel
1,0,1,1,Freeport,Hood,152.438,138.228,Lower Sac R,Freeport to Hood,152.438 to 138.228,2,2,38.46467,-121.50501,38.3617,-121.52033,2015-04-27_MillCk_RST_Rel,1,14,2015-04-27,MillCk_RST_Rel
