estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.5195154,0.1388955,0.26649080000000003,0.7629105,SB_Spring_2017,SutterBypass_Weir2_RST_Rel,Butte1,249.54,249.05,Sutter Bypass,"SutterBypass_Weir2_RST_Rel to 
Butte1",249.54 to 249.05,1,190,184,39.10239,-121.758804,39.09834,-121.75655
0.8356729,0.0267033,0.776476,0.8815833,SB_Spring_2017,Butte1,Butte2,249.05,238.46,Sutter Bypass,"Butte1 to 
Butte2",249.05 to 238.46,2,184,151,39.09834,-121.75655,39.00687,-121.72227
0.8939855,0.0230013,0.8397591,0.9313613,SB_Spring_2017,Butte2,Butte3,238.46,226.46,Sutter Bypass,"Butte2 to 
Butte3",238.46 to 226.46,3,151,133,39.00687,-121.72227,38.92734,-121.62995
0.7684498,0.1067168,0.5060156,0.9149083,SB_Spring_2017,Butte3,Butte4,226.46,224.89,Sutter Bypass,"Butte3 to 
Butte4",226.46 to 224.89,4,133,123,38.92734,-121.62995,38.915024,-121.62542
0.6189297,0.0538904,0.5092914,0.7176523,SB_Spring_2017,Butte4,Butte5,224.89,216.98,Sutter Bypass,"Butte4 to 
Butte5",224.89 to 216.98,5,123,73,38.915024,-121.62542,38.85305,-121.65151
0.7452951,0.05781,0.6169885,0.8416509,SB_Spring_2017,Butte5,Butte6,216.98,206.48,Sutter Bypass,"Butte5 to 
Butte6",216.98 to 206.48,6,73,36,38.85305,-121.65151,38.78346,-121.63226
0.9664424,0.0165167,0.9138968,0.9873647,SB_Spring_2017,Butte6,TowerBridge,206.48,172,Sutter Bypass,"Butte6 to 
TowerBridge",206.48 to 172,7,36,54,38.78346,-121.63226,38.5802,-121.508
1,5.582379e-12,1,1,SB_Spring_2017,TowerBridge,I80-50_Br,172,170.74,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.74,8,54,34,38.5802,-121.508,38.571133,-121.5164
1,2.994687e-9,1,1,SB_Spring_2017,I80-50_Br,SacTrawl1,170.74,167,Lower Sac R,"I80-50_Br to 
SacTrawl1",170.74 to 167,9,34,47,38.571133,-121.5164,38.54081,-121.51331
1,4.416198e-10,1,1,SB_Spring_2017,SacTrawl1,SacTrawl2,167,166.63,Lower Sac R,"SacTrawl1 to 
SacTrawl2",167 to 166.63,10,47,44,38.54081,-121.51331,38.53823,-121.51557
0.9999998,1.836068e-4,2.595065e-302,1,SB_Spring_2017,SacTrawl2,Freeport,166.63,152.43,Lower Sac R,"SacTrawl2 to 
Freeport",166.63 to 152.43,11,44,24,38.53823,-121.51557,38.46467,-121.50501
0.9999998,1.159834e-4,2.564961e-302,1,SB_Spring_2017,Freeport,Hood,152.43,138.22,Lower Sac R,"Freeport to 
Hood",152.43 to 138.22,12,24,28,38.46467,-121.50501,38.3617,-121.52033
0.9303685,0.01467,0.8955308,0.9541831,SB_Spring_2017,Hood,Chipps,138.22,71.47999999999999,Lower Sac R,"Hood to 
Chipps",138.22 to 71.48,13,28,34,38.3617,-121.52033,38.046132,-121.912643
0.9113505,0.0378355,0.8041347,0.9626061,SB_Spring_2017,Chipps,Benicia,71.47999999999999,52.04,West Delta,"Chipps to 
Benicia",71.48 to 52.04,14,34,28,38.046132,-121.912643,38.041233,-122.12382
0.9400063,0.0226885,0.8768684,0.97181,SB_Spring_2017,Benicia,GoldenGateE,52.04,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.04 to 1.71,15,28,17,38.041233,-122.12382,37.82794,-122.46168
